,case,day,rs,re,cs,ce
0,123,20,22,10000,0,261
0,123,22,26,10000,0,266
0,123,0,28,10000,0,260
0,77,20,47,10000,0,266
0,77,0,55,10000,0,263
0,77,18,62,10000,0,266
0,133,0,38,10000,0,360
0,133,25,34,10000,0,357
0,133,23,60,10000,0,360
0,129,20,84,10000,0,307
0,129,22,78,10000,0,308
0,129,24,83,10000,0,312
0,129,0,77,10000,0,302
0,129,27,81,10000,0,309
0,139,18,73,10000,0,251
0,139,0,56,10000,0,234
0,139,16,74,10000,0,263
0,139,14,76,10000,0,253
0,130,0,68,10000,0,264
0,130,20,56,10000,0,266
0,130,22,69,10000,0,266
0,88,38,18,10000,0,360
0,88,36,45,10000,0,360
0,88,0,36,10000,0,360
0,44,0,58,10000,0,264
0,44,20,73,10000,0,251
0,44,19,66,10000,0,257
0,145,20,50,10000,0,326
0,145,0,50,10000,0,328
0,145,19,45,10000,0,327
0,15,20,9,10000,0,266
0,15,0,28,10000,0,266
0,110,12,53,10000,0,323
0,110,16,54,10000,0,325
0,42,19,60,10000,0,252
0,42,17,61,10000,0,245
0,42,0,46,10000,0,258
0,118,0,39,10000,0,275
0,118,16,22,10000,0,266
0,118,14,22,10000,0,266
0,66,0,15,10000,0,266
0,66,34,23,10000,0,266
0,66,36,28,10000,0,264
0,91,0,32,10000,0,266
0,142,16,40,10000,0,239
0,142,0,57,10000,0,260
0,142,14,55,10000,0,246
0,58,0,45,10000,0,266
0,63,22,62,10000,0,266
0,63,20,31,10000,0,266
0,63,0,61,10000,0,266
0,63,26,27,10000,0,266
0,63,18,62,10000,0,266
0,114,0,73,10000,0,351
0,114,15,77,10000,0,348
0,114,17,73,10000,0,359
0,102,0,41,10000,0,345
0,115,0,10,10000,0,266
0,65,28,26,10000,0,266
0,65,25,22,10000,0,266
0,65,0,42,10000,0,266
0,53,0,48,10000,0,266
0,122,25,41,10000,0,260
0,122,18,26,10000,0,261
0,122,24,44,10000,0,266
0,122,27,43,10000,0,258
0,122,0,45,10000,0,314
0,125,16,41,10000,0,266
0,125,15,47,10000,0,265
0,125,0,49,10000,0,257
0,117,16,55,10000,0,250
0,117,0,53,10000,0,266
0,117,15,57,10000,0,262
0,117,17,57,10000,0,252
0,117,13,55,10000,0,254
0,140,10,60,10000,0,264
0,140,0,45,10000,0,254
0,134,22,70,10000,0,359
0,134,0,84,10000,0,359
0,134,21,69,10000,0,357
0,9,22,36,10000,0,308
0,9,20,35,10000,0,328
0,9,0,36,10000,0,320
0,113,22,50,10000,0,332
0,113,19,57,10000,0,345
0,113,0,50,10000,0,359
0,113,16,49,10000,0,341
0,113,12,57,10000,0,360
0,90,0,64,10000,0,265
0,90,29,77,10000,0,266
0,90,22,81,10000,0,266
0,49,13,0,10000,0,357
0,49,0,64,10000,0,310
0,49,15,35,10000,0,289
0,19,12,37,10000,0,317
0,19,22,19,10000,0,318
0,19,14,32,10000,0,325
0,19,18,32,10000,0,318
0,19,0,42,10000,0,317
0,6,24,51,10000,0,360
0,6,0,41,10000,0,348
0,6,20,55,10000,0,344
0,67,0,42,10000,0,266
0,67,16,31,10000,0,266
0,67,12,35,10000,0,266
0,154,13,47,10000,0,254
0,154,0,42,10000,0,257
0,154,14,51,10000,0,258
0,154,16,52,10000,0,259
0,154,17,52,10000,0,258
0,135,17,65,10000,0,262
0,135,0,67,10000,0,257
0,84,21,6,10000,0,263
0,84,23,19,10000,0,262
0,84,0,10,10000,0,265
0,147,18,36,10000,0,264
0,147,0,62,10000,0,360
0,147,19,29,10000,0,266
0,147,14,30,10000,0,266
0,147,20,24,10000,0,265
0,101,32,62,10000,0,266
0,101,20,54,10000,0,266
0,101,22,51,10000,0,266
0,101,26,53,10000,0,266
0,7,19,39,10000,0,266
0,7,13,41,10000,0,266
0,119,0,31,10000,0,313
0,119,20,8,10000,0,266
0,119,19,17,10000,0,266
0,119,21,19,10000,0,266
0,119,25,18,10000,0,266
0,32,18,29,10000,0,263
0,32,20,21,10000,0,261
0,32,17,12,10000,0,266
0,32,0,23,10000,0,262
0,32,19,16,10000,0,262
0,24,0,46,10000,0,252
0,24,25,50,10000,0,238
0,24,24,60,10000,0,238
0,33,21,48,10000,0,266
0,33,0,51,10000,0,266
0,22,0,63,10000,0,223
0,149,15,59,10000,0,250
0,149,0,58,10000,0,249
0,149,12,57,10000,0,247
0,11,0,63,10000,0,356
0,11,12,62,10000,0,359
0,11,13,65,10000,0,359
0,148,20,88,10000,0,336
0,148,0,87,10000,0,331
0,124,20,86,10000,0,256
0,124,0,80,10000,0,246
0,124,19,84,10000,0,263
0,111,19,73,10000,0,266
0,111,0,73,10000,0,264
0,89,21,53,10000,0,265
0,89,19,62,10000,0,360
0,89,17,68,10000,0,360
0,89,20,44,10000,0,266
0,89,0,65,10000,0,360
0,136,25,79,10000,0,312
0,136,27,81,10000,0,302
0,136,0,79,10000,0,213
0,116,0,73,10000,0,334
0,143,23,86,10000,0,253
0,143,0,59,10000,0,242
0,143,18,86,10000,0,249
0,35,18,55,10000,0,242
0,35,0,32,10000,0,253
0,35,15,54,10000,0,253
0,35,12,52,10000,0,241
0,35,13,55,10000,0,256
0,108,10,39,10000,0,266
0,108,0,51,10000,0,255
0,108,13,41,10000,0,263
0,43,20,67,10000,0,266
0,43,18,64,10000,0,266
0,43,22,65,10000,0,266
0,43,26,66,10000,0,266
0,43,0,61,10000,0,266
0,55,0,22,10000,0,266
0,55,18,0,10000,0,266
0,55,20,0,10000,0,266
0,141,27,80,10000,0,249
0,141,13,75,10000,0,257
0,141,0,61,10000,0,261
0,92,0,56,10000,0,266
0,16,0,45,10000,0,313
0,131,15,86,10000,0,272
0,131,19,100,10000,0,360
0,131,23,100,10000,0,325
0,131,0,101,10000,0,329
0,131,21,107,10000,0,358
0,81,0,52,10000,0,266
0,81,28,50,10000,0,266
0,34,0,56,10000,0,253
0,34,15,59,10000,0,251
0,34,16,57,10000,0,251
0,36,6,36,10000,0,266
0,36,10,38,10000,0,266
0,36,0,56,10000,0,359
0,36,8,37,10000,0,266
0,36,16,41,10000,0,266
0,36,14,37,10000,0,266
0,20,0,38,10000,0,240
0,20,24,38,10000,0,243
0,20,22,37,10000,0,245
0,121,14,40,10000,0,247
0,121,0,44,10000,0,247
0,121,16,36,10000,0,249
0,29,0,33,10000,0,261
0,29,13,34,10000,0,266
0,29,14,32,10000,0,262
0,18,0,43,10000,0,292
0,18,17,41,10000,0,288
0,18,19,72,10000,0,295
0,18,21,4,10000,0,359
0,18,25,54,10000,0,288
0,138,11,57,10000,0,266
0,138,0,61,10000,0,266
0,138,12,58,10000,0,266
0,146,25,47,10000,0,258
0,146,0,28,10000,0,266
0,146,24,29,10000,0,265
0,144,14,58,10000,0,243
0,144,15,64,10000,0,242
0,144,0,54,10000,0,249
0,40,17,35,10000,0,266
0,40,16,29,10000,0,264
0,40,0,34,10000,0,266
0,54,32,60,10000,0,261
0,54,35,62,10000,0,249
0,54,0,56,10000,0,256
0,54,39,47,10000,0,265
0,54,30,57,10000,0,257
0,78,22,1,10000,0,360
0,78,0,48,10000,0,347
0,78,18,40,10000,0,359
0,78,26,42,10000,0,358
0,78,30,39,10000,0,357
0,47,0,30,10000,0,261
0,47,27,43,10000,0,270
0,47,29,41,10000,0,267
0,156,11,46,10000,0,266
0,156,10,45,10000,0,260
0,156,0,60,10000,0,265
0,85,29,59,10000,0,359
0,85,21,40,10000,0,266
0,85,0,67,10000,0,359
0,85,23,39,10000,0,266
0,85,27,64,10000,0,359
0,107,0,31,10000,0,266
0,107,19,17,10000,0,266
0,107,21,19,10000,0,266
0,41,32,48,10000,0,266
0,41,0,66,10000,0,359
0,41,25,49,10000,0,266
0,80,0,48,10000,0,266
0,80,10,64,10000,0,266
0,80,14,72,10000,0,266
0,2,1,52,10000,0,265
0,2,5,57,10000,0,265
0,2,2,49,10000,0,264
0,2,3,58,10000,0,266
0,2,4,57,10000,0,262
0,74,15,53,10000,0,266
0,74,19,47,10000,0,266
0,74,0,53,10000,0,266
0,74,13,58,10000,0,266
0,74,18,54,10000,0,266
0,30,1,50,10000,0,251
0,30,0,48,10000,0,263
